Three Rivers,1848,1949
Throckmorton,828,761
Tiki Island,968,1065
Timbercreek Canyon,418,471
Timpson,1155,1134
Tioga,803,1051
Tira,297,313
Toco,75,76
Todd Mission,107,114
Tolar,681,1004
Tom Bean,1045,1081
Tomball,10753,11778
Tool,2240,2302
Toyah,90,108
Trent,337,349
Trenton,635,683
Trinidad,886,870
Trinity,2697,2756
Trophy Club,8024,12451
Troup,1869,2044
Troy,1645,2016
Tulia,4967,4655
Turkey,421,378
Tuscola,742,739
Tye,1242,1333
Tyler,96900,106985
Uhland,1014,1294
Uncertain,94,92
Union Grove,357,385
Union Valley,307,398
Universal City,18530,20890
University Park,23068,24985
Uvalde,15751,16001
Valentine,134,133
Valley Mills,1203,1180
Valley View,757,845
Van,2632,2741
Van Alstyne,3046,4378
Van Horn,2063,1870
Vega,884,924
Venus,2960,4368
Vernon,11002,10323
Victoria,62592,66916
Vidor,10579,10403
Vinton,1971,2022
Volente,520,599
Von Ormy,1085,1287
Waco,124805,139236
Waelder,1065,1133
Wake Village,5492,5327
Waller,2326,3488
Wallis,1252,1303
Walnut Springs,827,868
Warren City,298,305
Waskom,2160,2190
Watauga,23497,24481
Waxahachie,29621,37988
Weatherford,25250,33547
Webberville,392,485
Webster,10400,11451
Weimar,2151,2226
Weinert,172,162
Weir,450,530
Wellington,2189,2068
Wellman,203,203
Wells,790,792
Weslaco,35670,41629
West,2807,2986
West Columbia,3905,3830
West Lake Hills,3063,3286
West Orange,3443,3223
West Tawakoni,1576,2006
West University Place,14787,15585
Westbrook,253,244
Westlake,992,1709
Weston,563,540
Weston Lakes,2482,4003
Westover Hills,682,683
Westworth Village,2472,2757
Wharton,8832,8637
Wheeler,1592,1477
White Deer,1000,955
White Oak,6469,6322
White Settlement,16116,17851
Whiteface,449,412
Whitehouse,7660,8905
Whitesboro,3793,4120
Whitewright,1604,1721
Whitney,2087,2162
Wichita Falls,104553,104683
Wickett,498,559
Willis,5662,7028
Willow Park,3982,5842
Wills Point,3524,3651
Wilmer,3682,4772
Wilson,489,490
Wimberley,2626,3232
Windcrest,5364,5876
Windom,199,205
Windthorst,409,379
Winfield,524,520
Wink,940,1028
Winnsboro,3434,3299
Winona,576,608
Winters,2562,2448
Wixon Valley,254,253
Wolfe City,1412,1480
Wolfforth,3670,5486
Woodbranch,1282,1441
Woodcreek,1457,1716
Woodloch,207,208
Woodsboro,1512,1410
Woodson,264,241
Woodville,2586,2428
Woodway,8452,9024
Wortham,1073,996
Wylie,41427,53067
Yantis,388,428
Yoakum,5815,5940
Yorktown,2092,2050
Zavalla,713,710
