
Hutto		14698		27947		90.14%
Huxley		385		382		-0.78%
Idalou		2250		2308		2.58%
Impact		35		30		-14.29%
Indian Lake		640		854		33.44%
Industry		304		325		6.91%
Ingleside		9387		10192		8.58%
Ingleside on the Bay		615		607		-1.30%
Ingram		1804		1850		2.55%
Iola		401		424		5.74%
Iowa Colony		1170		3233		176.32%
Iowa Park		6355		6339		-0.25%
Iraan		1229		1222		-0.57%
Iredell		339		342		0.88%
Irving		216290		239798		10.87%
Italy		1863		1923		3.22%
Itasca		1644		1733		5.41%
Ivanhoe		887		1436		61.89%
Jacinto City		10553		10466		-0.82%
Jacksboro		4511		4384		-2.82%
Jacksonville		14544		14815		1.86%
Jamaica Beach		983		1079		9.77%
Jarrell		984		1832		86.18%
Jasper		7590		7551		-0.51%
Jayton		534		502		-5.99%
Jefferson		2106		1915		-9.07%
Jersey Village		7620		7890		3.54%
Jewett		1167		1220		4.54%
Joaquin		824		805		-2.31%
Johnson City		1656		2131		28.68%
Jolly		172		163		-5.23%
Jones Creek		2020		2077		2.82%
Jonestown		1834		2105		14.78%
Josephine		812		2094		157.88%
Joshua		5910		8101		37.07%
Jourdanton		3871		4405		13.79%
Junction		2574		2404		-6.60%
Justin		3246		4279		31.82%
Karnes City		3042		3383		11.21%
Katy		14102		21729		54.08%
Kaufman		6703		7788		16.19%
Keene		6106		6568		7.57%
Keller		39627		47213		19.14%
Kemah		1773		2019		13.87%
Kemp		1154		1236		7.11%
Kempner		1089		1140		4.68%
Kendleton		380		454		19.47%
Kenedy		3296		3353		1.73%
Kenefick		563		693		23.09%
Kennard		337		325		-3.56%
Kennedale		6763		8645		27.83%
Kerens		1573		1523		-3.18%
Kermit		5708		6486		13.63%
Kerrville		22347		23754		6.30%
Kilgore		12975		14852		14.47%
Killeen		127921		151666		18.56%
Kingsbury				133		#DIV/0!
Kingsville		26213		25315		-3.43%
Kirby		8000		8723		9.04%
Kirbyville		2142		2069		-3.41%
Kirvin		129		131		1.55%
Knollwood		226		489		116.37%
Knox City		1130		1119		-0.97%
Kosse		464		466		0.43%
Kountze		2123		2108		-0.71%
Kress		715		681		-4.76%
Krugerville		1662		1836		10.47%
Krum		4157		5018		20.71%
Kurten		398		409		2.76%
Kyle		28016		48393		72.73%
LaCoste		1119		1247		11.44%
Lacy-Lakeview		6489		6721		3.58%
Ladonia		612		627		2.45%
La Feria		7302		7230		-0.99%
Lago Vista		6041		7556		25.08%
La Grange		4641		4677		0.78%
La Grulla		1622		1701		4.87%
Laguna Vista		3117		3180		2.02%
La Joya		3985		4293		7.73%
Lake Bridgeport		340		399		17.35%
Lake City		509		531		4.32%
